wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_l2,test_kl_div,score,number_of_edges
launch-acdc-tracr-proportion-00011,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,1e-05,False,0,3413598722,tracr-proportion,4,attn-only-4l,2.605756241523721e-17,0.2003405690193176,inf,9
launch-acdc-tracr-proportion-00012,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,2.5118864315095825e-05,False,0,685453632,tracr-proportion,4,attn-only-4l,9.061348034978672e-17,0.1981358081102371,inf,9
launch-acdc-tracr-proportion-00012,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,2.5118864315095825e-05,False,0,685453632,tracr-proportion,4,attn-only-4l,9.061348034978672e-17,0.1981358081102371,inf,9
launch-acdc-tracr-proportion-00013,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,6.309573444801929e-05,False,0,2017855025,tracr-proportion,4,attn-only-4l,1.060266543408425e-17,0.1990756392478943,inf,9
launch-acdc-tracr-proportion-00014,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0001584893192461,False,0,1244061156,tracr-proportion,4,attn-only-4l,6.075100953953624e-17,0.1992510259151458,inf,9
launch-acdc-tracr-proportion-00015,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0003981071705534,False,0,512111155,tracr-proportion,4,attn-only-4l,5.130386124085844e-19,0.2004032135009765,inf,9
launch-acdc-tracr-proportion-00016,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.001,False,0,1161797296,tracr-proportion,4,attn-only-4l,4.202549004718536e-17,0.1985094100236892,inf,9
launch-acdc-tracr-proportion-00017,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0025118864315095,False,0,3118486039,tracr-proportion,4,attn-only-4l,1.7956351951288342e-18,0.2006339579820633,inf,9
launch-acdc-tracr-proportion-00018,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0063095734448019,False,0,3183575997,tracr-proportion,4,attn-only-4l,8.037473302619517e-18,0.1982488632202148,inf,9
launch-acdc-tracr-proportion-00019,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0158489319246111,False,0,2592512736,tracr-proportion,4,attn-only-4l,3.19787462330184e-17,0.1994872242212295,inf,9
launch-acdc-tracr-proportion-00020,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0398107170553497,False,0,593765854,tracr-proportion,4,attn-only-4l,7.31064210607836e-17,0.1971749514341354,inf,9
launch-acdc-tracr-proportion-00021,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.1,False,0,2734450971,tracr-proportion,4,attn-only-4l,0.0607407391071319,0.2066086232662201,inf,8
launch-acdc-tracr-proportion-00021,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.1,False,0,2734450971,tracr-proportion,4,attn-only-4l,0.0607407391071319,0.2066086232662201,inf,8
launch-acdc-tracr-proportion-00011,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,1e-05,False,1,3413598722,tracr-proportion,4,attn-only-4l,0.1183333322405815,0.2086482644081115,inf,0
launch-acdc-tracr-proportion-00012,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,2.5118864315095825e-05,False,1,685453632,tracr-proportion,4,attn-only-4l,0.1742592453956604,0.210270807147026,inf,0
launch-acdc-tracr-proportion-00013,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,6.309573444801929e-05,False,1,2017855025,tracr-proportion,4,attn-only-4l,0.1583333313465118,0.2091777175664901,inf,0
launch-acdc-tracr-proportion-00014,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0001584893192461,False,1,1244061156,tracr-proportion,4,attn-only-4l,0.1492592692375183,0.2091699540615081,inf,0
launch-acdc-tracr-proportion-00015,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0003981071705534,False,1,512111155,tracr-proportion,4,attn-only-4l,0.1292592585086822,0.2104552090167999,inf,0
launch-acdc-tracr-proportion-00016,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.001,False,1,1161797296,tracr-proportion,4,attn-only-4l,0.1618518382310867,0.2121556103229522,inf,0
launch-acdc-tracr-proportion-00017,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0025118864315095,False,1,3118486039,tracr-proportion,4,attn-only-4l,0.1303703635931015,0.209112599492073,inf,0
launch-acdc-tracr-proportion-00018,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0063095734448019,False,1,3183575997,tracr-proportion,4,attn-only-4l,0.1759259104728698,0.2113324552774429,inf,0
launch-acdc-tracr-proportion-00019,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0158489319246111,False,1,2592512736,tracr-proportion,4,attn-only-4l,0.1438888907432556,0.210691437125206,inf,0
launch-acdc-tracr-proportion-00020,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0398107170553497,False,1,593765854,tracr-proportion,4,attn-only-4l,0.2033333331346511,0.2107939720153808,inf,0
launch-acdc-tracr-proportion-00021,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.1,False,1,2734450971,tracr-proportion,4,attn-only-4l,0.1242592632770538,0.2086642682552337,inf,0
launch-acdc-tracr-proportion-00011,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,1e-05,True,1,3413598722,tracr-proportion,4,attn-only-4l,0.1183333322405815,0.0859657078981399,inf,0
launch-acdc-tracr-proportion-00012,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,2.5118864315095825e-05,True,1,685453632,tracr-proportion,4,attn-only-4l,0.1742592453956604,0.0858099460601806,inf,0
launch-acdc-tracr-proportion-00013,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,6.309573444801929e-05,True,1,2017855025,tracr-proportion,4,attn-only-4l,0.1583333313465118,0.0859476774930954,inf,0
launch-acdc-tracr-proportion-00014,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0001584893192461,True,1,1244061156,tracr-proportion,4,attn-only-4l,0.1492592692375183,0.0857378020882606,inf,0
launch-acdc-tracr-proportion-00015,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0003981071705534,True,1,512111155,tracr-proportion,4,attn-only-4l,0.1292592585086822,0.0873516947031021,inf,0
launch-acdc-tracr-proportion-00016,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.001,True,1,1161797296,tracr-proportion,4,attn-only-4l,0.1618518382310867,0.0873678177595138,inf,0
launch-acdc-tracr-proportion-00017,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0025118864315095,True,1,3118486039,tracr-proportion,4,attn-only-4l,0.1303703635931015,0.0869524255394935,inf,0
launch-acdc-tracr-proportion-00018,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0063095734448019,True,1,3183575997,tracr-proportion,4,attn-only-4l,0.1759259104728698,0.0870235860347747,inf,0
launch-acdc-tracr-proportion-00019,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0158489319246111,True,1,2592512736,tracr-proportion,4,attn-only-4l,0.1438888907432556,0.0871618390083313,inf,0
launch-acdc-tracr-proportion-00020,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0398107170553497,True,1,593765854,tracr-proportion,4,attn-only-4l,0.2033333331346511,0.0861057117581367,inf,0
launch-acdc-tracr-proportion-00021,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.1,True,1,2734450971,tracr-proportion,4,attn-only-4l,0.1242592632770538,0.0862873494625091,inf,0
launch-acdc-tracr-proportion-00011,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,1e-05,True,0,3413598722,tracr-proportion,4,attn-only-4l,0.0,0.0869483947753906,inf,10
launch-acdc-tracr-proportion-00012,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,2.5118864315095825e-05,True,0,685453632,tracr-proportion,4,attn-only-4l,0.0,0.0862535312771797,inf,10
launch-acdc-tracr-proportion-00013,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,6.309573444801929e-05,True,0,2017855025,tracr-proportion,4,attn-only-4l,0.0,0.0864922702312469,inf,10
launch-acdc-tracr-proportion-00014,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0001584893192461,True,0,1244061156,tracr-proportion,4,attn-only-4l,0.0,0.0865533426403999,inf,10
launch-acdc-tracr-proportion-00015,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0003981071705534,True,0,512111155,tracr-proportion,4,attn-only-4l,0.0,0.0868410468101501,inf,10
launch-acdc-tracr-proportion-00016,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.001,True,0,1161797296,tracr-proportion,4,attn-only-4l,0.0,0.0864302068948745,inf,10
launch-acdc-tracr-proportion-00017,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0025118864315095,True,0,3118486039,tracr-proportion,4,attn-only-4l,0.0,0.0868711397051811,inf,10
launch-acdc-tracr-proportion-00018,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0063095734448019,True,0,3183575997,tracr-proportion,4,attn-only-4l,0.0,0.0863089114427566,inf,10
launch-acdc-tracr-proportion-00019,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0158489319246111,True,0,2592512736,tracr-proportion,4,attn-only-4l,0.0,0.0866992101073265,inf,10
launch-acdc-tracr-proportion-00020,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.0398107170553497,True,0,593765854,tracr-proportion,4,attn-only-4l,0.0287037063390016,0.0935257449746131,inf,8
launch-acdc-tracr-proportion-00021,jailbreak_llm,pariya_mehrbod,acdc-tracr-proportion,cpu,l2,0.1,True,0,2734450971,tracr-proportion,4,attn-only-4l,0.12425926327705383,0.08628734946250916,inf,2
