wandb-name,wandb-project,wandb-entity,wandb-group,device,lr,loss-type,epochs,verbose,lambda-reg,zero-ablation,reset-subject,seed,num-examples,seq-len,n-loss-average-runs,task,torch-num-threads,model-type,number_of_nodes,specific_metric,nodes_to_mask,test_kl_div,test_l2,number_of_edges,percentage_binary
launch-sp-tracr-reverse-00000,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.001,0,0,1325277,6,5,20,tracr-reverse,4,attn-only-4l,5,0.0204187653725966,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.0078056077618384,0.0204187653725966,9,0.9166666666666666
launch-sp-tracr-reverse-00001,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.004,0,0,1245509803,6,5,20,tracr-reverse,4,attn-only-4l,5,0.2830614745616913,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.1132855731993913,0.2830614745616913,9,1.0
launch-sp-tracr-reverse-00002,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.016,0,0,2610168330,6,5,20,tracr-reverse,4,attn-only-4l,5,0.1853940188884735,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.0744135901331901,0.1853940188884735,9,1.0
launch-sp-tracr-reverse-00003,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.063,0,0,2852940166,6,5,20,tracr-reverse,4,attn-only-4l,5,0.0025348598137497,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.0009476034902036,0.0025348598137497,9,1.0
launch-sp-tracr-reverse-00004,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.251,0,0,2572051083,6,5,20,tracr-reverse,4,attn-only-4l,5,0.0536398405674845,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.0209154384428984,0.0536398405674845,9,1.0
launch-sp-tracr-reverse-00005,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,1.0,0,0,1905955923,6,5,20,tracr-reverse,4,attn-only-4l,5,0.3254029154777527,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.1309171020984649,0.3254029154777527,9,1.0
launch-sp-tracr-reverse-00006,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.001,1,0,1826165277,6,5,20,tracr-reverse,4,attn-only-4l,10,2.1404072518970687,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.7723165805895178,2.1404072518970687,35,0.9166666666666666
launch-sp-tracr-reverse-00007,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.004,1,0,2696503193,6,5,20,tracr-reverse,4,attn-only-4l,11,3.787964820125236,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.2669733281276194,3.787964820125236,41,1.0
launch-sp-tracr-reverse-00008,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.016,1,0,2400066064,6,5,20,tracr-reverse,4,attn-only-4l,11,4.017934149445372,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.3174524738014697,4.017934149445372,41,0.6666666666666666
launch-sp-tracr-reverse-00009,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.063,1,0,365637787,6,5,20,tracr-reverse,4,attn-only-4l,10,2.2769050031253224,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",0.7186130216667124,2.2769050031253224,35,1.0
launch-sp-tracr-reverse-00010,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.251,1,0,197368186,6,5,20,tracr-reverse,4,attn-only-4l,10,2.671199777710882,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.hook_resid_mid[:]']",0.9317166641998824,2.671199777710882,36,0.9166666666666666
launch-sp-tracr-reverse-00011,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,1.0,1,0,258315872,6,5,20,tracr-reverse,4,attn-only-4l,11,4.81854161218523,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.7129212346627325,4.81854161218523,41,0.8333333333333334
launch-sp-tracr-reverse-00000,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.001,0,1,1325277,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,0.9166666666666666
launch-sp-tracr-reverse-00001,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.008,0,1,1245509803,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00002,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.063,0,1,2610168330,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00003,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.501,0,1,2852940166,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00004,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.001,1,1,2572051083,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00005,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.008,1,1,1905955923,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00006,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.063,1,1,1826165277,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00007,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.501,1,1,2696503193,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066132,6.666659116744995,5,0.9166666666666666
